epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,epoch_time_seconds,learning_rate
1,0.8951177889464703,0.7853982300884956,5.390282909264758,0.04060493059871556,0.0059834125328485765,260.3516637645662,0.007964601769911504
2,0.05587090474586373,0.983683628318584,5.160543206366837,0.12160762378288792,0.09010767332066495,245.34123323857784,0.015964601769911504
3,0.04291550477810072,0.9853774889380531,2.953078789619128,0.46170844554934054,0.4201813566994905,245.54258396662772,0.023964601769911505
4,0.05232562660239637,0.9828885508849557,0.6588287998656361,0.8469028382017817,0.8444398993982872,247.5392752829939,0.031964601769911505
5,0.06105109226098696,0.9808835730088495,0.9187175308494853,0.8037428354395415,0.7474275493285275,249.84764877520502,0.039964601769911505
6,0.0507400620438208,0.9839601769911505,0.32792479727991164,0.904978937918652,0.8831670405357758,249.50637574493885,0.03984368474988736
7,0.02564658752031649,0.9919109513274337,0.056853244748616354,0.9833575029348802,0.9768201536644245,246.54318619333208,0.039374425828965415
8,0.013868565982531146,0.995402378318584,0.08954114488231922,0.9726538222498446,0.9628773956417358,248.3331327792257,0.038599620638999695
9,0.01222137321740702,0.9958517699115044,0.12666178327089478,0.9645742697327533,0.9505368135888239,245.24141813255847,0.03753148832068214
10,0.011623522538145225,0.9965777101769911,0.05295558272042942,0.9845314550100132,0.9788356464339995,246.1568904016167,0.03618687395874394
11,0.003072239229513154,0.9991357853982301,0.054885744225439854,0.9843242869967543,0.9783423802076744,247.30131846480072,0.034586982924906556
12,0.0040048262415407045,0.9986863938053098,0.03734110765389115,0.9879151992265728,0.9819317451615422,246.647995416075,0.03275704645650217
13,0.0013588930738736222,0.9997234513274337,0.045522158317876524,0.9870174711691182,0.9820431189770474,250.0042353719473,0.030725923744788577
14,0.0011918783576478004,0.9996197455752213,0.036109350077162615,0.990539327394517,0.9880931246618226,246.31791207753122,0.028525646808263395
15,0.0008250726094900576,0.9997580199115044,0.02467691276808234,0.9932325115668807,0.9912586029585624,247.6859468910843,0.02619091532859737
16,0.0009482504363493121,0.9997925884955752,0.02085187588866556,0.9945445756508529,0.9917938847918355,244.54692043736577,0.023758549415925805
17,0.0004931949277294485,0.9997925884955752,0.020653364331340122,0.9942683516331745,0.9920210851619977,247.0845982991159,0.0212669089337165
18,0.0003278618989389116,0.9998617256637168,0.022083079594917204,0.9939921276154962,0.9917807801137929,251.0311627034098,0.01875528854080777
19,0.00023952121126709984,0.9999654314159292,0.017522019973300246,0.9953041916994683,0.9932273676173883,249.3479174543172,0.016263297991165097
20,0.0002106781610713112,0.9999654314159292,0.018026808804994663,0.9953041916994683,0.9934958873446542,246.3450428750366,0.013830237464399318
21,0.00019718117686456975,1.0,0.01876334795311832,0.9953041916994683,0.9930125972763278,246.88421002030373,0.011494477778457454
22,0.0001137759199800551,1.0,0.01720095480969633,0.9956494717215661,0.9934669858960314,247.1210392266512,0.009292855258902017
23,0.00019146183036351046,0.9999654314159292,0.017254581709791304,0.9959256957392445,0.9941413111524023,245.10601841285825,0.0072600908080519225
24,0.00014789072688231058,1.0,0.016974439686101232,0.995856639734825,0.9937669561609946,247.23055990971625,0.005428242335611708
25,0.00010335032593965343,1.0,0.016653469999637998,0.9957875837304053,0.993689433636977,250.47097453288734,0.0038261991862849976
26,0.0001710054313000113,0.9999654314159292,0.016193944811203415,0.9959256957392445,0.9940621688927421,248.36161715351045,0.002479226537550854
27,0.00012244531762514745,1.0,0.016245527250977027,0.9959947517436641,0.9941264747336098,246.27477045357227,0.00140856695272227
28,0.0001268121747894452,0.9999654314159292,0.01595545283877729,0.9960638077480837,0.99393343167811,250.90484136901796,0.000631105373033034
29,0.000105699584934834,1.0,0.015731716947183068,0.9961328637525033,0.994284556308218,248.93923506513238,0.00015910283202787755
30,0.00014021319569400097,1.0,0.015846555529580936,0.9960638077480837,0.9942040363111407,247.10565758496523,3.0917391025120367e-09
