epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,epoch_time_seconds,learning_rate
1,0.8262389360666275,0.7188125,3.9325084552764893,0.100375,0.019163820903664756,166.3682841025293,0.007968
2,0.28713367235660553,0.903375,1.8478623113632202,0.4558125,0.42268921520961034,148.03526882268488,0.015968
3,0.2461496897637844,0.91640625,0.5279774932861329,0.847625,0.8487268614445915,146.8161513209343,0.023968
4,0.23220939373970031,0.91990625,0.6396266133785248,0.81325,0.8135996819965376,147.54203110560775,0.031968
5,0.22148497089743613,0.9249375,0.7499581594467163,0.77825,0.7766726055441702,148.13458279520273,0.039968
6,0.1855374210178852,0.93653125,0.7156826472282409,0.7975625,0.799779959778458,147.4897063281387,0.03984355150663158
7,0.1390684665888548,0.9513125,0.3888059332370758,0.88625,0.8857963873715426,147.31076320819557,0.039374160878659165
8,0.10677123402804137,0.96275,0.429292400598526,0.88425,0.8814301885942015,147.6267252434045,0.038599228160067584
9,0.0821376988813281,0.9710625,0.3485119360089302,0.91,0.9094001496894426,148.15088518708944,0.03753097450275138
10,0.06303366225212813,0.97821875,0.3093679775595665,0.91675,0.9170622490495861,147.99418329633772,0.036186246905030243
11,0.053461417850106954,0.9813125,0.3728463990688324,0.910875,0.9092864664744663,147.73322596214712,0.03458625252442156
12,0.04291202643234283,0.985125,0.2350954350233078,0.93675,0.9367326005142462,147.3178323507309,0.03275622422809785
13,0.029491414750926197,0.9895625,0.23978759369254113,0.9401875,0.9401299404139198,147.32075361721218,0.030725022655498035
14,0.02423228593170643,0.9916875,0.24920270729064942,0.9344375,0.934178308075037,146.89469848014414,0.028524681068803046
15,0.016103876254055648,0.99534375,0.2376210601851344,0.94325,0.9431653076019227,147.91680534556508,0.026189900169255393
16,0.010353168254718185,0.99653125,0.20148393803834916,0.9460625,0.9457806007293794,147.66526914201677,0.02375750084637146
17,0.00568844930495834,0.9984375,0.2134817496314645,0.9486875,0.9487463078300374,147.7304511833936,0.021265843490518042
18,0.0027948269052139947,0.9994375,0.18871708351373673,0.9559375,0.9558787162899034,148.1054747942835,0.018754223026640905
19,0.0034065366137074307,0.99915625,0.18604252241551877,0.95725,0.9571546937987737,147.73534821532667,0.01626224920982473
20,0.002426110398431774,0.99934375,0.18404093465209007,0.9581875,0.9581040571002204,147.43382323347032,0.013829221955793716
21,0.001651955078516039,0.9994375,0.17845203675329685,0.9585625,0.9585662106908568,147.38457344472408,0.011493511557763958
22,0.0012997365855117095,0.9996875,0.18057080221176147,0.960375,0.9602428899021096,147.47107427567244,0.009291953563998145
23,0.0007844169868330937,0.99990625,0.17693220902979373,0.9590625,0.9589758059265534,147.7416390143335,0.00725926785920497
24,0.0007682337451660714,0.9998125,0.17559107065200805,0.9599375,0.9598352926313577,147.8489281348884,0.00542751111121659
25,0.0008865203230816406,0.9998125,0.17640474826097488,0.9596875,0.9596358499692415,147.79670365713537,0.003825571218187238
26,0.0005614795633446193,0.9999375,0.174611506678164,0.960125,0.9600695558184412,147.07052443921566,0.002478711729182479
27,0.000728749996618717,0.99990625,0.17417976973950863,0.96025,0.9602012286721372,147.37949958257377,0.0014081734229187905
28,0.000647386394575733,0.99984375,0.174970706820488,0.9601875,0.9601321971407974,146.90479629300535,0.0006308393279945258
29,0.0006970940719693317,0.999875,0.17443915590643883,0.96025,0.9601951756433131,147.8336390480399,0.00015896846744352765
30,0.0005299606666958425,0.9999375,0.17437622731924057,0.9604375,0.9603777817298077,147.1088220346719,2.526618674281167e-09
