epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,epoch_time_seconds,learning_rate
1,0.6485063694715499,0.782875,0.23878814685344696,0.9173125,0.9167419974409858,264.0380594804883,0.007968
2,0.2378992760181427,0.91890625,0.274933811545372,0.908375,0.9082920160768999,255.28250288404524,0.015968
3,0.2449209527373314,0.91840625,0.3136428465247154,0.8945,0.8949986021190943,254.7664227914065,0.023968
4,0.2500900965034962,0.91275,0.3605144568681717,0.88275,0.8826178801648196,254.9775305762887,0.031968
5,0.2440444811284542,0.9174375,0.36296301674842835,0.8809375,0.8797834896580428,255.2835438735783,0.039968
6,0.21683690786361695,0.927375,0.23764748936891555,0.9224375,0.9224153669039552,255.6633384488523,0.03984355150663158
7,0.17601366364955903,0.938625,0.26764105933904647,0.913375,0.9129955748963644,254.53578304499388,0.039374160878659165
8,0.14584819370508195,0.949875,0.2927235746383667,0.9093125,0.9097184635092155,255.36296417564154,0.038599228160067584
9,0.12269450704753398,0.957875,0.31217353427410127,0.9033125,0.9030128371248693,254.76941527239978,0.03753097450275138
10,0.09453129821270705,0.966875,0.3105906268954277,0.9105625,0.9114214099368999,255.7849167007953,0.036186246905030243
11,0.08576851755753159,0.97,0.23312951838970183,0.931375,0.9311176162629898,255.83188067562878,0.03458625252442156
12,0.06751883130893112,0.9763125,0.21897136843204498,0.9346875,0.9344133789421034,255.851548217237,0.03275622422809785
13,0.05493930334225297,0.9805625,0.18579847672581673,0.9463125,0.9464662759095244,255.69183084741235,0.030725022655498035
14,0.04407291496917606,0.98446875,0.17704764354228975,0.9504375,0.9503229519104943,254.76470770314336,0.028524681068803046
15,0.03198940118402243,0.989,0.18822250732779502,0.94775,0.9477346946767801,254.99478741176426,0.026189900169255393
16,0.024696513711940496,0.99184375,0.2063299415409565,0.94775,0.9480148970249344,255.36762561276555,0.02375750084637146
17,0.01789043981162831,0.9940625,0.20117475005984306,0.9498125,0.9494840917893214,255.7710343413055,0.021265843490518042
18,0.011008813217282296,0.9963125,0.15550048607587813,0.959375,0.959284457607902,256.035982394591,0.018754223026640905
19,0.007641325079835951,0.99734375,0.15625837415456773,0.9600625,0.9599992294356801,255.00519697740674,0.01626224920982473
20,0.004782852482720045,0.99865625,0.1575464688539505,0.9613125,0.961272792979876,255.6879199091345,0.013829221955793716
21,0.004025645044603152,0.9990625,0.14954425393044948,0.963125,0.9630359838838072,255.55700053460896,0.011493511557763958
22,0.002565180806646822,0.99925,0.14584722624719143,0.964875,0.9648301312270551,255.8196482397616,0.009291953563998145
23,0.0016756281094276347,0.99959375,0.14062161967158318,0.96475,0.964694209831692,255.86738823913038,0.00725926785920497
24,0.0016488480167317903,0.99965625,0.14126117545366287,0.9653125,0.9652573564522964,255.75565993227065,0.00542751111121659
25,0.0012342169489420484,0.99975,0.1407416504174471,0.9661875,0.9661536703241611,255.84790907613933,0.003825571218187238
26,0.001325485103734536,0.99971875,0.13988913138210773,0.966,0.9659708332622445,255.73152898997068,0.002478711729182479
27,0.0011677170106995619,0.9996875,0.1396220619380474,0.9665625,0.966530165796259,255.76841502450407,0.0014081734229187905
28,0.001382741282825009,0.99959375,0.13790927469730377,0.9660625,0.9660259494004768,255.6457279585302,0.0006308393279945258
29,0.0010735809008183424,0.9998125,0.1362243691831827,0.9669375,0.9669052403815634,255.71353750489652,0.00015896846744352765
30,0.0009993172918620985,0.999875,0.13868152409791945,0.9663125,0.9662771548426136,255.43897751905024,2.526618674281167e-09
