epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,epoch_time_seconds,learning_rate
1,1.2381955558285775,0.6799294800884956,1.5732008391133891,0.609100952907057,0.5293535903542338,430.59885449521244,0.007964601769911504
2,0.12948116215061298,0.9590362278761062,1.2908436013031954,0.7025963264742439,0.6340161658619069,398.69704917259514,0.015964601769911504
3,0.127121654207266,0.9593127765486725,2.747107550182851,0.5295539290153294,0.5289371955930198,396.14377843029797,0.023964601769911505
4,0.116843949269866,0.9628733407079646,0.5395279133612898,0.8423560281729043,0.804522731571239,398.41224894300103,0.031964601769911505
5,0.11347451014032142,0.965016592920354,2.8500107254150278,0.46119320535837593,0.40710009756014687,396.97583358362317,0.039964601769911505
6,0.10393771354059599,0.9687154314159292,0.6596518776443449,0.8402844910923906,0.8134065072174339,396.7840104009956,0.03984368474988736
7,0.07617918355184385,0.9754563053097345,0.20035168843362117,0.9477282143350366,0.9333863424968428,394.3066915906966,0.039374425828965415
8,0.050938647740574106,0.9836490597345132,0.606171483925867,0.8627951940339732,0.8209467281554724,394.60049114748836,0.038599620638999695
9,0.04216579774516198,0.9866565265486725,0.830520086481235,0.7776550200248584,0.7162678038267307,394.247743871063,0.03753148832068214
10,0.03421228525045419,0.9886615044247787,0.5822545680991854,0.8740505455047646,0.8839263952055424,397.47100872173905,0.03618687395874394
11,0.022575013582266053,0.992360342920354,0.08031463451997059,0.976729733462229,0.9708752004752396,396.3902270216495,0.034586982924906556
12,0.017840685128812282,0.9943307522123894,0.5957083262337487,0.8670073194310178,0.8551136176295621,396.293475413695,0.03275704645650217
13,0.011168580724993223,0.9964740044247787,0.20999198128991348,0.9438613451180776,0.919606584680586,395.27210508845747,0.030725923744788577
14,0.011417807597378258,0.9963011615044248,0.03886172614785217,0.9883303411131059,0.9856371327368486,397.35096694529057,0.028525646808263395
15,0.010432011552575607,0.9970616703539823,0.06336829207417065,0.983358652119873,0.9798571962096257,394.36414783261716,0.02619091532859737
16,0.004910700756339696,0.9985481194690266,0.0364748172800509,0.988399392349123,0.9842769588230609,395.8347139265388,0.023758549415925805
17,0.0036216496091824855,0.9989629424778761,0.052841991226114014,0.9845325231321641,0.9807137039043128,395.5608320888132,0.0212669089337165
18,0.0018345816214689803,0.9995851769911505,0.040393485248507104,0.9868112139207292,0.9834634257055676,393.92278827913105,0.01875528854080777
19,0.001078828277662721,0.9996888827433629,0.024452752071325374,0.992266261566082,0.9899791489599877,396.35820959694684,0.016263297991165097
20,0.0007505924947702069,0.9998617256637168,0.027664207574231704,0.9915757492059107,0.9900215205662031,395.7449178509414,0.013830237464399318
21,0.0009551953984136911,0.9996197455752213,0.03455453286475005,0.9892970584173457,0.9860483686023687,396.2419954948127,0.011494477778457454
22,0.0008042486986685021,0.9997580199115044,0.02146626312847314,0.992818671454219,0.9910450703627455,395.94495344534516,0.009292855258902017
23,0.0004101174259264867,0.9999308628318584,0.023588531374616833,0.992266261566082,0.9906686344380136,395.6416608467698,0.0072600908080519225
24,0.0003506035363234252,0.9998962942477876,0.026139135778583185,0.9921281590940478,0.9906278160037183,396.56720763631165,0.005428242335611708
25,0.0004337902731424794,0.9998617256637168,0.022704525701831946,0.9929567739262533,0.9912960076205442,398.2760091740638,0.0038261991862849976
26,0.0003465516834851375,0.9998962942477876,0.02209993322245212,0.9931639276343046,0.9916519646884876,397.9743807129562,0.002479226537550854
27,0.00033343994200388813,0.9998962942477876,0.022618723812076934,0.9933710813423561,0.9922747444014324,396.93257180415094,0.00140856695272227
28,0.0002843612161585654,0.9999308628318584,0.022721221264419316,0.9935782350504074,0.9926109428932615,396.79429931007326,0.000631105373033034
29,0.00024834909346177443,0.9999654314159292,0.022955502719962908,0.9934401325783732,0.992467048307414,394.0217441059649,0.00015910283202787755
